code,code2,occupation
2830,2830,ENT-Editors
2840,2840,ENT-Technical Writers
2850,2850,ENT-Writers And Authors
2860,2860,ENT-Miscellaneous Media And Communication Workers
2900,2900,"ENT-Broadcast And Sound Engineering Technicians And Radio Operators, And Media And Communication Equipment Workers, All Other"
2910,2910,ENT-Photographers
2920,2920,"ENT-Television, Video, And Motion Picture Camera Operators And Editors"
3000,3000,MED-Chiropractors
3010,3010,MED-Dentists
3030,3030,MED-Dietitians And Nutritionists
3040,3040,MED-Optometrists
3050,3050,MED-Pharmacists
3060,3060,MED-Physicians And Surgeons
3110,3110,MED-Physician Assistants
3120,3120,MED-Podiatrists
3140,3140,MED-Audiologists
3150,3150,MED-Occupational Therapists
3160,3160,MED-Physical Therapists
3200,3200,MED-Radiation Therapists
3210,3210,MED-Recreational Therapists
3220,3220,MED-Respiratory Therapists
3230,3230,MED-Speech-Language Pathologists
3245,3245,"MED-Other Therapists, Including Exercise Physiologists"
3250,3250,MED-Veterinarians
3255,3255,MED-Registered Nurses
3256,3256,MED-Nurse Anesthetists
3258,3258,"MED-Nurse Practitioners, And Nurse Midwives"
3260,3260,"MED-Health Diagnosing And Treating Practitioners, All Other"
3300,3300,MED-Clinical Laboratory Technologists And Technicians
3310,3310,MED-Dental Hygienists
3320,3320,MED-Diagnostic Related Technologists And Technicians
3400,3400,MED-Emergency Medical Technicians And Paramedics
3420,3420,MED-Health Practitioner Support Technologists And Technicians
3500,3500,MED-Licensed Practical And Licensed Vocational Nurses
3510,3510,MED-Medical Records And Health Information Technicians
3520,3520,"MED-Opticians, Dispensing"
3535,3535,MED-Miscellaneous Health Technologists And Technicians
3540,3540,MED-Other Healthcare Practitioners And Technical Occupations
3600,3600,"HLS-Nursing, Psychiatric, And Home Health Aides"
3610,3610,HLS-Occupational Therapy Assistants And Aides
3620,3620,HLS-Physical Therapist Assistants And Aides
3630,3630,HLS-Massage Therapists
3640,3640,HLS-Dental Assistants
3645,3645,HLS-Medical Assistants
3646,3646,HLS-Medical Transcriptionists
3647,3647,HLS-Pharmacy Aides
3648,3648,HLS-Veterinary Assistants And Laboratory Animal Caretakers
3649,3649,HLS-Phlebotomists
3655,3655,"HLS-Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
3700,3700,PRT-First-Line Supervisors Of Correctional Officers
3710,3710,PRT-First-Line Supervisors Of Police And Detectives
3720,3720,PRT-First-Line Supervisors Of Fire Fighting And Prevention Workers
3730,3730,"PRT-First-Line Supervisors Of Protective Service Workers, All Other"
3740,3740,PRT-Firefighters
3750,3750,PRT-Fire Inspectors
3800,3800,"PRT-Bailiffs, Correctional Officers, And Jailers"
3820,3820,PRT-Detectives And Criminal Investigators
3840,3840,PRT-Miscellaneous Law Enforcement Workers
3850,3850,PRT-Police Officers
3900,3900,PRT-Animal Control Workers
3910,3910,PRT-Private Detectives And Investigators
3930,3930,PRT-Security Guards And Gaming Surveillance Officers
3940,3940,PRT-Crossing Guards
3945,3945,PRT-Transportation Security Screeners
3955,3955,"PRT-Lifeguards And Other Recreational, And All Other Protective Service Workers"
4000,4000,EAT-Chefs And Head Cooks
4010,4010,EAT-First-Line Supervisors Of Food Preparation And Serving Workers
4020,4020,EAT-Cooks
4030,4030,EAT-Food Preparation Workers
4040,4040,EAT-Bartenders
4050,4050,"EAT-Combined Food Preparation And Serving Workers, Including Fast Food"
